time,x,y,s,dis,dir,event,nflId,displayName,jerseyNumber,team,frame.id,gameId,playId
Q1-14:48,22.50,31.50,NA,0.0,NA,,827,Cesar Ruiz,51,Michigan Wolverines,16,117,1111
Q1-14:48,22.50,31.50,NA,0.0,NA,,827,Cesar Ruiz,51,Michigan Wolverines,17,117,1111
Q1-14:48,22.50,31.50,NA,0.0,NA,tackle,827,Cesar Ruiz,51,Michigan Wolverines,18,117,1111
Q1-14:54,31.50,30.00,NA,0.0,NA,snap,1124,Blake Gallagher,51,Northwestern Wildcats,1,117,1111
Q1-14:54,31.30,30.40,NA,0.4,NA,,1124,Blake Gallagher,51,Northwestern Wildcats,2,117,1111
Q1-14:53,31.20,30.60,NA,0.2,NA,,1124,Blake Gallagher,51,Northwestern Wildcats,3,117,1111
Q1-14:53,32.30,31.40,NA,0.8,NA,,1124,Blake Gallagher,51,Northwestern Wildcats,4,117,1111
Q1-14:52,34.20,32.30,NA,0.9,NA,,1124,Blake Gallagher,51,Northwestern Wildcats,5,117,1111
Q1-14:52,35.05,32.70,NA,0.4,NA,throw,1125,Blake Gallagher,52,Northwestern Wildcats,6,117,1111
Q1-14:52,35.90,33.10,NA,0.4,NA,,1124,Blake Gallagher,51,Northwestern Wildcats,7,117,1111
Q1-14:51,37.10,31.90,NA,-1.2,NA,,1124,Blake Gallagher,51,Northwestern Wildcats,8,117,1111
Q1-14:51,37.08,31.50,NA,-0.4,NA,pass_outcome_complete,1124,Blake Gallagher,51,Northwestern Wildcats,9,117,1111
Q1-14:51,37.05,31.10,NA,-0.4,NA,,1124,Blake Gallagher,51,Northwestern Wildcats,10,117,1111
Q1-14:51,37.00,30.30,NA,-0.8,NA,,1124,Blake Gallagher,51,Northwestern Wildcats,11,117,1111
Q1-14:50,36.70,28.00,NA,-2.3,NA,,1124,Blake Gallagher,51,Northwestern Wildcats,12,117,1111
Q1-14:50,36.60,24.70,NA,-3.3,NA,,1124,Blake Gallagher,51,Northwestern Wildcats,13,117,1111
Q1-14:49,36.20,21.30,NA,-3.4,NA,,1124,Blake Gallagher,51,Northwestern Wildcats,14,117,1111
Q1-14:49,35.90,17.80,NA,-3.5,NA,,1124,Blake Gallagher,51,Northwestern Wildcats,15,117,1111
Q1-14:48,35.50,14.00,NA,-3.8,NA,,1124,Blake Gallagher,51,Northwestern Wildcats,16,117,1111
Q1-14:48,34.90,10.70,NA,-3.3,NA,,1124,Blake Gallagher,51,Northwestern Wildcats,17,117,1111
Q1-14:48,34.50,10.50,NA,-0.2,NA,tackle,1124,Blake Gallagher,51,Northwestern Wildcats,18,117,1111
Q1-14:54,31.20,19.30,NA,0.0,NA,snap,1125,Nate Hall,32,Northwestern Wildcats,1,117,1111
Q1-14:54,31.10,19.40,NA,0.1,NA,,1125,Nate Hall,32,Northwestern Wildcats,2,117,1111
Q1-14:53,31.40,19.20,NA,-0.2,NA,,1125,Nate Hall,32,Northwestern Wildcats,3,117,1111
Q1-14:53,32.30,19.00,NA,-0.2,NA,,1125,Nate Hall,32,Northwestern Wildcats,4,117,1111
Q1-14:52,33.40,18.80,NA,-0.2,NA,,1125,Nate Hall,32,Northwestern Wildcats,5,117,1111
Q1-14:52,34.30,17.00,NA,-1.8,NA,throw,1125,Nate Hall,32,Northwestern Wildcats,6,117,1111
Q1-14:52,34.10,18.10,NA,1.1,NA,,1125,Nate Hall,32,Northwestern Wildcats,7,117,1111
Q1-14:51,33.70,15.80,NA,-2.3,NA,,1125,Nate Hall,32,Northwestern Wildcats,8,117,1111
Q1-14:51,33.70,12.20,NA,-3.6,NA,pass_outcome_complete,1125,Nate Hall,32,Northwestern Wildcats,9,117,1111
Q1-14:51,33.55,12.65,NA,0.5,NA,,1125,Nate Hall,32,Northwestern Wildcats,10,117,1111
Q1-14:51,33.40,13.10,NA,0.4,NA,,1125,Nate Hall,32,Northwestern Wildcats,11,117,1111
Q1-14:50,32.40,10.30,NA,-2.8,NA,,1125,Nate Hall,32,Northwestern Wildcats,12,117,1111
Q1-14:50,31.40,8.10,NA,-2.2,NA,,1125,Nate Hall,32,Northwestern Wildcats,13,117,1111
Q1-14:49,30.20,7.60,NA,-0.5,NA,,1125,Nate Hall,32,Northwestern Wildcats,14,117,1111
Q1-14:49,30.00,7.10,NA,-0.5,NA,,1125,Nate Hall,32,Northwestern Wildcats,15,117,1111
